ID,Reserve.Location,Camera.Site,Setup.Date,Last.Photo.Date,Cam.Days,Lat_Y,Long_X,Cam.Brand,Flash,RSA.Vegetation,RSA.Biome,Reserve.Area..km2.,Stablishment.Year,EVI.mean,EVI.sd,NDVI.Mean,NDVI.sd,Season,Managent.Type,Official.Name,Elev.m
83,DHP,DHP_E01,2018-11-14,2019-02-07,85,-34.47147,20.40633,Cuddeback,White,COASTAL MACCHIA,Fynbos,339,1957,0.208714286,0.01817869,0.372642857,0.038152975,summer,Provintial Reserve,DeHoop Nature Reserve,49
84,DHP,DHP_E02,2018-11-14,2019-02-11,89,-34.47276,20.43193,Cuddeback,White,COASTAL MACCHIA,Fynbos,339,1957,0.210942857,0.022115067,0.300328571,0.021430952,summer,Provintial Reserve,DeHoop Nature Reserve,55
85,DHP,DHP_E03,2018-11-14,2019-02-07,85,-34.47203,20.45828,Cuddeback,White,COASTAL MACCHIA,Thicket,339,1957,0.210642857,0.056189052,0.359657143,0.104064609,summer,Provintial Reserve,DeHoop Nature Reserve,55
86,DHP,DHP_E04,2018-11-14,2019-01-13,60,-34.47553,20.48403,Cuddeback,White,COASTAL MACCHIA,Thicket,339,1957,0.329757143,0.120550209,0.479585714,0.095211019,summer,Provintial Reserve,DeHoop Nature Reserve,55
87,DHP,DHP_E05,2018-11-14,2019-02-13,91,-34.47501,20.50598,Cuddeback,White,COASTAL MACCHIA,Thicket,339,1957,0.242,0.085317,0.365833,0.097644,summer,Provintial Reserve,DeHoop Nature Reserve,100
88,DHP,DHP_F02,2018-11-14,2018-11-27,13,-34.49241,20.42927,Cuddeback,White,COASTAL MACCHIA,Thicket,339,1957,0.174557143,0.035586742,0.2428,0.024820959,summer,Provintial Reserve,DeHoop Nature Reserve,55
89,GOE,GOE_A01,2019-03-04,2019-05-03,60,-29.65453,18.02626,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.079983333,0.003666833,0.134133333,0.0043468,autunm,Provintial Reserve,Goegap Nature Reserve,1095
90,GOE,GOE_A03,2019-03-04,2019-04-29,56,-29.63599,18.05648,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.08385,0.001104083,0.1426,0.003756594,autunm,Provintial Reserve,Goegap Nature Reserve,1095
91,GOE,GOE_A04,2019-03-04,2019-04-30,57,-29.63719,18.03355,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.0882,0.005136925,0.15995,0.005130595,autunm,Provintial Reserve,Goegap Nature Reserve,1095
92,GOE,GOE_A05,2019-03-04,2019-05-07,64,-29.6536,18.00795,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.089783333,0.002974839,0.155666667,0.005607733,autunm,Provintial Reserve,Goegap Nature Reserve,1095
93,GOE,GOE_A06,2019-03-04,2019-04-25,52,-29.64529,17.99187,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.094666667,0.003267211,0.164883333,0.004090192,autunm,Provintial Reserve,Goegap Nature Reserve,1095
94,GOE,GOE_A07,2019-03-04,2019-04-27,54,-29.62964,17.98567,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.092583333,0.005697163,0.17135,0.006143859,autunm,Provintial Reserve,Goegap Nature Reserve,1095
95,GOE,GOE_A08,2019-03-04,2019-05-09,66,-29.61422,17.97839,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.087983333,0.001898859,0.163033333,0.005080026,autunm,Provintial Reserve,Goegap Nature Reserve,1095
96,GOE,GOE_A09,2019-03-04,2019-05-02,59,-29.60603,17.99523,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.0902,0.004119709,0.167733333,0.007586479,autunm,Provintial Reserve,Goegap Nature Reserve,1095
97,GOE,GOE_A10,2019-03-04,2019-04-14,41,-29.60946,18.01309,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.08685,0.005181795,0.165383333,0.004806003,autunm,Provintial Reserve,Goegap Nature Reserve,1095
98,GOE,GOE_A11,2019-03-04,2019-04-28,55,-29.62491,18.0088,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Nama Karoo,148,1966,0.083366667,0.004496072,0.157983333,0.004149418,autunm,Provintial Reserve,Goegap Nature Reserve,1095
99,GOE,GOE_A12,2019-03-05,2019-04-29,55,-29.66977,17.99429,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.089916667,0.005985789,0.141366667,0.008521659,autunm,Provintial Reserve,Goegap Nature Reserve,920
100,GOE,GOE_A13,2019-03-05,2019-03-27,22,-29.67983,18.0072,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.090283333,0.002103727,0.150316667,0.002992936,autunm,Provintial Reserve,Goegap Nature Reserve,969
101,GOE,GOE_A14,2019-03-05,2019-03-28,23,-29.67404,18.02976,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.07885,0.003569174,0.13765,0.002052072,autunm,Provintial Reserve,Goegap Nature Reserve,969
102,GOE,GOE_A15,2019-03-05,2019-04-29,55,-29.69501,18.01242,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.088316667,0.004758746,0.141016667,0.006827127,autunm,Provintial Reserve,Goegap Nature Reserve,969
103,GOE,GOE_A16,2019-03-05,2019-04-20,46,-29.70473,17.99744,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.096866667,0.004913926,0.16005,0.008383496,autunm,Provintial Reserve,Goegap Nature Reserve,920
104,GOE,GOE_A17,2019-03-05,2019-05-07,63,-29.69897,17.97904,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.086683333,0.001969179,0.153616667,0.00379864,autunm,Provintial Reserve,Goegap Nature Reserve,920
105,GOE,GOE_A18,2019-03-05,2019-05-14,70,-29.6826,17.981,Cuddeback,Black,NAMAQUALAND BROKEN VELD,Succulent Karoo,148,1966,0.074183333,0.003919906,0.123016667,0.007395517,autunm,Provintial Reserve,Goegap Nature Reserve,920
