Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,EXIF.Model,EXIF.Make,metadata_Species,metadata_Behaviour,metadata_Number,n_images,metadata_Sex,metadata_young_present,HierarchicalSubject
A13,springbok,2019-03-20 14:53,2019-03-20,14:53:37,65,1.1,0,0,E:/GOE/GOE_Roll1/A13,I_00013a.JPG,E3,CUDDEBACK,springbok,Moving,1,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|1, Number, Species"
A13,springbok,2019-03-28 15:48,2019-03-28,15:48:22,694485,11574.8,192.9,8,E:/GOE/GOE_Roll1/A13,I_00015a.JPG,E3,CUDDEBACK,springbok,Moving,1,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|1, Number, Species"
A14,aardvarkantbear,2019-03-10 16:34,2019-03-10,16:34:36,0,0,0,0,E:/GOE/GOE_Roll1/A14,I_00019a.JPG,E3,CUDDEBACK,aardvarkantbear,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|aardvarkantbear, Species"
A14,aardvarkantbear,2019-03-10 16:37,2019-03-10,16:37:52,196,3.3,0.1,0,E:/GOE/GOE_Roll1/A14,I_00020a.JPG,E3,CUDDEBACK,aardvarkantbear,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|aardvarkantbear, Species"
A14,baboon,2019-03-08 6:51,2019-03-08,6:51:27,0,0,0,0,E:/GOE/GOE_Roll1/A14,I_00005a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 6:57,2019-03-08,6:57:56,389,6.5,0.1,0,E:/GOE/GOE_Roll1/A14,I_00006a.JPG,E3,CUDDEBACK,baboon,Moving,2,1,NA,NA,"Behaviour|Moving, Behaviour, Number, Number|2, Species|baboon, Species"
A14,baboon,2019-03-08 6:59,2019-03-08,6:59:34,98,1.6,0,0,E:/GOE/GOE_Roll1/A14,I_00007a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 7:12,2019-03-08,7:12:43,789,13.2,0.2,0,E:/GOE/GOE_Roll1/A14,I_00008a.JPG,E3,CUDDEBACK,baboon,Interacting,1,1,NA,NA,"Behaviour|Interacting, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 7:48,2019-03-08,7:48:21,2138,35.6,0.6,0,E:/GOE/GOE_Roll1/A14,I_00009a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 7:56,2019-03-08,7:56:50,509,8.5,0.1,0,E:/GOE/GOE_Roll1/A14,I_00010a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 8:09,2019-03-08,8:09:38,768,12.8,0.2,0,E:/GOE/GOE_Roll1/A14,I_00011a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 8:53,2019-03-08,8:53:34,2636,43.9,0.7,0,E:/GOE/GOE_Roll1/A14,I_00014a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A14,baboon,2019-03-08 8:55,2019-03-08,8:55:01,87,1.4,0,0,E:/GOE/GOE_Roll1/A14,I_00015a.JPG,E3,CUDDEBACK,baboon,Resting,2,1,NA,NA,"Behaviour, Number, Behaviour|Resting, Number|2, Species|baboon, Species"
